smiles,p_activity
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)C(O)=O,5.376750709602099
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)S(C)(=O)=O,5.920818753952375
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)S(N)(=O)=O,6.552841968657781
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1Cl)C(O)=O,6.769551078621726
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1F)C(O)=O,5.844663962534938
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1F)S(N)(=O)=O,6.863279432843593
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc2ccn(Cc3ccc(cc3)C(O)=O)c2c1,5.537602002101044
CC(C)(C)c1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)NC1CCCCCC1,7.207608310501746
CC(C)(C)c1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)NCc1ccc(Cl)cc1Cl,6.785156151952302
CC(C)(CO)C(=O)N1CCN(Cc2ncc(s2)C(=O)NCc2ccc(Cl)cc2Cl)CC1,7.872895201635192
CC(C)(O)C(=O)N1CCN(Cc2ccc(s2)C(=O)NCc2ccccc2OC(F)(F)F)CC1,8.772113295386326
CC(C)(O)C(=O)N1CCN(Cc2ncc(s2)C(=O)NCc2ccc(Cl)cc2Cl)CC1,7.966576244513051
CC(C)(O)CC(=O)N1CCN(Cc2ccc(s2)C(=O)NCc2ccccc2OC(F)(F)F)CC1,8.761953896871205
CC(C)(O)CC(=O)N1CCN(Cc2ncc(s2)C(=O)NCc2ccc(Cl)cc2Cl)CC1,7.860120913598763
CC(C)(O)c1ccc(cc1)C(=O)NCc1ccc(NS(C)(=O)=O)cc1Cl,6.769551078621726
CC(C)=CCC(C)(C)CNC(=O)NC1CCCCC1,7.707743928643524
CC(C)=CCC\C(C)=C\CC\C(C)=C\CSC[C@H](NC(C)=O)C(O)=O,5.690369832574101
CC(C)=C\C=C1\C(=O)Nc2ccccc12,6.0
CC(C)C(=O)N1CCC(CC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,8.326671845258781
CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)c(F)c1,9.508638306165727
CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)cc1,9.400662867007512
CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(c(F)c1)C(F)(F)F,9.309803919971486
CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F,9.18045606445813
